date,total_records,valid_h2s_records,locations_observed,mean_h2s_ppb,median_h2s_ppb,max_h2s_ppb,elevated_h2s_events,orange_h2s_events,exceedance_200ppb_events,nighttime_records,any_elevated_h2s_day,any_orange_h2s_day
2024-09-12,1,0,1,,,,0,0,0,0,False,False
2024-09-25,10,10,1,2.0700000000000003,0.15000000000000002,10.0,2,0,0,4,True,False
2024-09-26,15,15,1,0.12666666666666668,0.1,0.2,0,0,0,8,False,False
2024-10-12,18,9,2,1.7666666666666666,1.0,6.5,1,0,0,4,True,False
2024-10-21,1,1,1,0.3,0.3,0.3,0,0,0,0,False,False
2024-10-30,19,4,2,1.8,1.8,3.5,0,0,0,1,False,False
2024-11-08,2,1,2,0.2,0.2,0.2,0,0,0,0,False,False
2024-11-18,18,8,2,1.975,1.75,3.7,0,0,0,15,False,False
2024-11-26,1,0,1,,,,0,0,0,0,False,False
2024-11-28,2,0,2,,,,0,0,0,0,False,False
2024-12-07,48,48,2,7.545833333333333,5.6,29.8,25,0,0,24,True,False
2024-12-16,36,35,2,3.7314285714285713,3.7,12.9,9,0,0,12,True,False
2024-12-25,19,17,3,5.688235294117647,3.8,26.5,6,0,0,12,True,False
2024-12-26,37,27,3,2.2518518518518515,1.5,11.2,3,0,0,17,True,False
2025-01-16,20,13,3,6.984615384615385,7.3,13.4,10,0,0,15,True,False
2025-01-30,53,35,3,3.525714285714286,3.6,9.9,7,0,0,36,True,False
2025-01-31,53,35,3,1.6114285714285714,0.8,10.4,1,0,0,31,True,False
2025-02-01,2,2,2,2.3,2.3,2.5,0,0,0,2,False,False
2025-02-16,33,22,3,1.8045454545454547,1.2999999999999998,5.0,1,0,0,9,True,False
2025-04-05,17,8,2,2.6374999999999997,2.5,5.0,1,0,0,10,True,False
2025-05-18,25,25,3,3.5039999999999996,3.1,10.5,7,0,0,24,True,False
2025-05-20,52,52,3,17.36923076923077,4.05,233.1,24,6,1,35,True,True
2025-05-21,70,70,3,11.614285714285716,3.7,295.6,30,4,1,36,True,True
2025-07-08,32,11,3,21.072727272727274,0.7,207.4,2,1,1,14,True,True
2025-08-25,7,0,3,,,,0,0,0,7,False,False
2025-08-26,6,0,3,,,,0,0,0,6,False,False
