notebook,output_type,file_name,folder,file_path,file_exists
10_daily_environmental_results.ipynb,table_csv,daily_active_record_day_summary.csv,tables,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/tables/daily_active_record_day_summary.csv,True
10_daily_environmental_results.ipynb,table_csv,daily_environmental_dataset_summary.csv,tables,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/tables/daily_environmental_dataset_summary.csv,True
10_daily_environmental_results.ipynb,table_csv,daily_environmental_mann_whitney_tests.csv,tables,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/tables/daily_environmental_mann_whitney_tests.csv,True
10_daily_environmental_results.ipynb,table_csv,daily_environmental_spearman_correlations.csv,tables,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/tables/daily_environmental_spearman_correlations.csv,True
10_daily_environmental_results.ipynb,table_csv,high_flow_window_active_record_day_comparison.csv,tables,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/tables/high_flow_window_active_record_day_comparison.csv,True
10_daily_environmental_results.ipynb,table_csv,mann_whitney_key_results_summary.csv,tables,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/tables/mann_whitney_key_results_summary.csv,True
10_daily_environmental_results.ipynb,table_csv,monthly_environmental_results_summary.csv,tables,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/tables/monthly_environmental_results_summary.csv,True
10_daily_environmental_results.ipynb,table_csv,notebook10_key_daily_results_summary.csv,tables,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/tables/notebook10_key_daily_results_summary.csv,True
10_daily_environmental_results.ipynb,table_csv,notebook10_output_inventory.csv,tables,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/tables/notebook10_output_inventory.csv,True
10_daily_environmental_results.ipynb,table_csv,rainy_vs_dry_active_record_day_comparison.csv,tables,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/tables/rainy_vs_dry_active_record_day_comparison.csv,True
10_daily_environmental_results.ipynb,table_csv,report_spearman_results_table.csv,tables,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/tables/report_spearman_results_table.csv,True
10_daily_environmental_results.ipynb,figure_png,figure1_total_active_record_days_by_category.png,figures,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/figures/figure1_total_active_record_days_by_category.png,True
10_daily_environmental_results.ipynb,figure_png,figure2_monthly_active_record_days_over_time.png,figures,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/figures/figure2_monthly_active_record_days_over_time.png,True
10_daily_environmental_results.ipynb,figure_png,figure3_rainy_vs_dry_mean_active_record_days.png,figures,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/figures/figure3_rainy_vs_dry_mean_active_record_days.png,True
10_daily_environmental_results.ipynb,figure_png,figure6_key_mann_whitney_heatmap.png,figures,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/figures/figure6_key_mann_whitney_heatmap.png,True
10_daily_environmental_results.ipynb,figure_png,figure_1_total_beach_active_record_days_by_category.png,figures,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/figures/figure_1_total_beach_active_record_days_by_category.png,True
10_daily_environmental_results.ipynb,figure_png,figure_2_monthly_beach_active_record_days_over_time.png,figures,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/figures/figure_2_monthly_beach_active_record_days_over_time.png,True
10_daily_environmental_results.ipynb,figure_png,figure_4_high_flow_window_percent_increase.png,figures,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/figures/figure_4_high_flow_window_percent_increase.png,True
10_daily_environmental_results.ipynb,figure_png,figure_5_spearman_correlation_heatmap.png,figures,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/figures/figure_5_spearman_correlation_heatmap.png,True
10_daily_environmental_results.ipynb,figure_png,figure_6_mann_whitney_percent_difference_heatmap.png,figures,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/figures/figure_6_mann_whitney_percent_difference_heatmap.png,True
10_daily_environmental_results.ipynb,figure_png,report_spearman_results_table.png,figures,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/figures/report_spearman_results_table.png,True
10_daily_environmental_results.ipynb,figure_png,table_notebook10_key_daily_results_summary.png,figures,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/figures/table_notebook10_key_daily_results_summary.png,True
10_daily_environmental_results.ipynb,figure_png,table_notebook10_key_daily_results_summary_large.png,figures,/content/gdrive_results/MyDrive/STAT596/Project596_datafiles/figures/table_notebook10_key_daily_results_summary_large.png,True
